stateabb,ccode,year,irst,milex,milper,energy,tpop,upop,cinc,version
USA,2,1980,101456,143981000,2050,2449597,227726,57197,0.1342731,3.02
USA,2,1981,109614,169888000,2101,2366286,229966,57825,0.1392099,3.02
USA,2,1982,67656,196345000,2168,2250321,232188,58453,0.1308215,3.02
USA,2,1983,76762,217198000,2201,2227374,234307,58856,0.1339648,3.02
USA,2,1984,83940,237052000,2222,2329207,236348,59259,0.1370616,3.02
USA,2,1985,80067,245154000,2244,2341609,238466,60260,0.1390002,3.02
USA,2,1986,74032,265480000,2269,2336692,240651,61261,0.1369066,3.02
USA,2,1987,80876,273966000,2280,2429590,242804,61975,0.1357681,3.02
USA,2,1988,90631,281935000,2250,2555480,245021,62689,0.1366192,3.02
USA,2,1989,87722,294880000,2240,2571554,247342,63402,0.1499331,3.02
USA,2,1990,89726,289755000,2180,2567218,249907,64116,0.140959,3.02
USA,2,1991,79738,262389000,2110,2607325,252618,64814,0.1364806,3.02
USA,2,1992,84322,286892000,1920,2717062,255391,65413,0.1502436,3.02
USA,2,1993,88793,297600000,1810,2823922,258132,66072,0.1565447,3.02
USA,2,1994,91244,293214000,1710,2983822,260602,66457,0.1500795,3.02
USA,2,1995,95191,277834000,1620,3031435,262755,66943,0.1447726,3.02
USA,2,1996,95535,277254000,1570,3096356,265284,67433,0.1431138,3.02
USA,2,1997,98485,276324000,1530,2986350,267901,68486,0.1461871,3.02
USA,2,1998,98658,279702000,1510,2986958,274028,69556,0.1482788,3.02
USA,2,1999,97427,292147000,1490,2986821,276218,70642,0.1497012,3.02
USA,2,2000,101803,303136000,1366,2986683,278357,75342,0.1498416,3.02
USA,2,2001,90104,322365000,1368,2986546,278393,76239,0.1497016,3.02
CAN,20,1920,1118,10755,4,31979,8556,1598,0.0101284,3.02
CAN,20,1921,678,10209,4,30630,8788,1659,0.0105423,3.02
CAN,20,1922,494,10028,4,26533,8919,1708,0.0084077,3.02
CAN,20,1923,899,13316,4,35626,9010,1760,0.0098605,3.02
CAN,20,1924,661,12824,4,29947,9143,1822,0.0088947,3.02
CAN,20,1925,765,12984,4,29242,9294,1893,0.0087039,3.02
CAN,20,1926,789,13936,4,33207,9451,1971,0.00924,3.02
CAN,20,1927,922,16745,4,36491,9637,2054,0.0093703,3.02
CAN,20,1928,1255,18862,5,37299,9835,2119,0.0097022,3.02
CAN,20,1929,1400,21058,4,40842,10029,2187,0.009803,3.02
CAN,20,1930,1026,22649,5,39101,10208,2256,0.0097882,3.02
CAN,20,1931,683,18263,6,31481,10377,2328,0.009185,3.02
CAN,20,1932,345,11999,5,29101,10510,2361,0.008633,3.02
CAN,20,1933,417,17149,5,29070,10633,2397,0.0084307,3.02
CAN,20,1934,770,12943,5,33577,10741,2426,0.0089085,3.02
CAN,20,1935,957,24921,4,33523,10845,2459,0.0087363,3.02
CAN,20,1936,1134,24762,6,36524,10950,2490,0.0086481,3.02
CAN,20,1937,1425,32419,6,39978,11045,2526,0.0089261,3.02
CAN,20,1938,1174,35282,6,36854,11152,2560,0.0087166,3.02
CAN,20,1939,1407,125700,6,40964,11267,2589,0.0090911,3.02
CAN,20,1940,2045,730100,21,46411,11381,2617,0.0120588,3.02
CAN,20,1941,2460,1038380,280,51156,11507,2645,0.0150791,3.02
CAN,20,1942,2821,2321324,400,55917,11654,2690,0.0171436,3.02
CAN,20,1943,2725,3841192,740,58587,11795,2738,0.0185215,3.02
CAN,20,1944,2736,3622309,728,60382,11946,2790,0.0169748,3.02
CAN,20,1945,2611,2664365,801,56093,12072,2845,0.0170419,3.02
CAN,20,1946,2111,1552759,46,59632,12292,2903,0.015644,3.02
CAN,20,1947,2672,385771,43,62009,12551,2972,0.013188,3.02
CAN,20,1948,2903,195025,40,68228,13167,3041,0.0125928,3.02
